Product Name,UPC,Quantity,Orig. Retail,Total Orig. Retail,Estimated Price for Each,Total price for all
75367 - Lego Venator,673419377065,2,$649.99,$1299.98,$518.00,$1036.00
10321 - 1961 Corvette,673419375344,4,$149.99,$599.96,$166.92,$667.68
21330 - Home Alone,673419345842,2,$299.99,$599.98,$325.00,$650.00
42177 - Mercedes G500,673419389198,3,$249.99,$999.96,$202.22,$606.66
31208 - The Great Wave,673419374897,6,$99.99,$599.94,$73.91,$443.46
21351 - Nightmare BC Decor,673419394130,2,$199.99,$399.98,$204.00,$408.00
10318 - Concorde Airbus,673419375320,2,$199.99,$399.98,$197.50,$395.00
75382 Tie Interceptor,673419390774,1,$229.99,$229.99,$200.00,$200.00
43242 - Snow White 7 Dwarves,673419391382,1,$219.99,$219.99,$182.50,$182.50
10330 - Ayrton Senna Mclaren,673419388672,2,$79.99,$159.98,$58.50,$117.00
71046 - Space Minifigs Series 26,673419391917,8,$4.98,$59.76,$13.24,$105.92
60367 - Passenger Airplane,673419374842,1,$119.99,$119.99,$102.00,$102.00
42631 - Lego Friends Tree House,673419390408,1,$129.99,$129.99,$101.75,$101.75
43247 - Simba Lion King,673419392204,1,$129.99,$129.99,$79.50,$79.50
75379 - R2-D2,673419389518,1,$99.99,$99.99,$75.47,$75.47
31213 - Mona Lisa Wall Art,673419389983,1,$99.99,$99.99,$75.00,$75.00
10280 - Flower Bouquet,673419340526,2,$59.99,$119.98,$37.10,$74.20
75683 - Glinda & Elphabas Dorm,673419401227,1,$69.99,$69.99,$61.49,$61.49
75376 - Tantive IV,673419389495,1,$79.99,$79.99,$49.48,$49.48
75682 - Glinda & Elphaba Figures,673419401210,1,$54.99,$54.99,$47.10,$47.10
10331 - Kingfisher Bird,673419394215,1,$49.99,$49.99,$42.95,$42.95
10313 - Wildflower Bouquet,673419375276,1,$59.99,$59.99,$38.45,$38.45
75385 - Ahsokas Tano's Duel,673419389556,1,$54.99,$54.99,$37.50,$37.50
76922 - BMW M4 GT3 & Hybrid,673419389105,1,$44.99,$44.99,$33.49,$33.49
42165 - Mercedes AMG F1 W14,673419394260,1,$26.99,$26.99,$33.47,$33.47
76996 - Knuckles Guardian Mech,673419391672,1,$34.99,$34.99,$32.50,$32.50
42178 - Surface Space Loader,673419389204,1,$34.99,$34.99,$25.99,$25.99
75372 - Clone Trooper Battle Droid,673419389457,1,$29.99,$29.99,$25.98,$25.98
76923 - Speed Champions Lambo,673419389112,1,$26.99,$26.99,$21.12,$21.12
75373 - Ambush on Mandalore,673419389464,1,$19.99,$19.99,$18.00,$18.00
76935 - Nascar Next Gen Camaro,673419400497,1,$26.99,$26.99,$17.13,$17.13
40524 - Sunflowers,673419359597,1,$14.99,$14.99,$13.59,$13.59
71047 - D&D Minifig,673419391924,1,$4.98,$4.98,$11.97,$11.97
60400 - City Go Karts,673419386814,1,$9.99,$9.99,$9.84,$9.84
30680 - AAT,673419390767,1,$4.98,$4.98,$7.12,$7.12
30683 - Mclaren Formula 1 Car,673419391979,1,$4.98,$9.96,$6.46,$6.46